,name,energy,smiles,from_EQ,from_EQ_smiles,to_EQ,to_EQ_smiles
60,TS4,-154.891280616284,[H]C([H])([H])O.[H]C([H])[H],EQ7,[H]C([H])([H])[H].[H]C([H])=O,EQ8,[H]C([H])([H])O.[H]C([H])[H]
61,TS5,-154.877099234321,[H]C=OC([H])([H])[H].[H][H],EQ0,[H]C([H])([H])OC([H])([H])[H],EQ10,[H]C=OC([H])([H])[H].[H][H]
62,TS6,-154.890013585443,[H]C([H])=O=C([H])[H].[H][H],EQ2,[H]C([H])=O=C([H])[H].[H][H],EQ11,[H]C([H])=O=C([H])[H].[H][H]
63,TS7,-154.818627850393,[HH].[H]C=O.[H]C[H].[H][H],EQ12,[H]C=OC([H])([H])[H].[H][H],EQ11,[H]C([H])=O=C([H])[H].[H][H]
64,TS8,-154.879193230227,[H]C=OC([H])([H])[H].[H][H],EQ12,[H]C=OC([H])([H])[H].[H][H],EQ0,[H]C([H])([H])OC([H])([H])[H]
65,TS9,-154.862290735371,[HH].[H]C([H])OC([H])([H])[H],EQ14,[HH].[H]C([H])OC([H])([H])[H],EQ0,[H]C([H])([H])OC([H])([H])[H]
66,TS10,-154.852293036555,[HH].[H]C([H])OC([H])([H])[H],EQ6,[HH].[H]C([H])OC([H])([H])[H],EQ3,[H]C[H].[H]OC([H])([H])[H]
67,TS11,-154.874602912128,[H]C[H].[H]OC([H])([H])[H],EQ4,[H]C[H].[H]OC([H])([H])[H],EQ4,[H]C[H].[H]OC([H])([H])[H]
68,TS12,-154.803785875962,[HH].[HH].[H]C([H])OC([H])[H],EQ0,[H]C([H])([H])OC([H])([H])[H],EQ15,[HH].[H]C([H])OC([H])([H])[H]
69,TS13,-154.862272749312,[HH].[H]C([H])OC([H])([H])[H],EQ6,[HH].[H]C([H])OC([H])([H])[H],EQ0,[H]C([H])([H])OC([H])([H])[H]
70,TS14,-154.891027103231,[H]C([H])([H])O.[H]C([H])[H],EQ0,[H]C([H])([H])OC([H])([H])[H],EQ8,[H]C([H])([H])O.[H]C([H])[H]
71,TS15,-154.889629194287,[H]C([H])([H])O.[H]C([H])[H],EQ7,[H]C([H])([H])[H].[H]C([H])=O,EQ7,[H]C([H])([H])[H].[H]C([H])=O
72,TS16,-154.89098362951,[H]C=OC([H])([H])[H].[H][H],EQ10,[H]C=OC([H])([H])[H].[H][H],EQ10,[H]C=OC([H])([H])[H].[H][H]
73,TS17,-154.821740906346,[H]C([H])[H].[H]C=O.[H][H],EQ18,[H]C(=O)C([H])([H])[H].[H][H],EQ12,[H]C=OC([H])([H])[H].[H][H]
74,TS18,-154.890288209999,[H]C([H])([H])O.[H]C([H])[H],EQ8,[H]C([H])([H])O.[H]C([H])[H],EQ8,[H]C([H])([H])O.[H]C([H])[H]
75,TS19,-154.877045146967,[H]C([H])[H].[H]C=O.[H][H],EQ7,[H]C([H])([H])[H].[H]C([H])=O,EQ17,[H]C(=O)C([H])([H])[H].[H][H]
76,TS21,-154.855825783547,[H]COC([H])([H])[H].[H][H],EQ12,[H]C=OC([H])([H])[H].[H][H],EQ10,[H]C=OC([H])([H])[H].[H][H]
77,TS22,-155.006675522457,[H]C(=O)C([H])([H])[H].[H][H],EQ19,[H]C(=O)C([H])([H])[H].[H][H],EQ17,[H]C(=O)C([H])([H])[H].[H][H]
78,TS24,-154.877903822124,[H]C[H].[H]OC([H])([H])[H],EQ3,[H]C[H].[H]OC([H])([H])[H],EQ4,[H]C[H].[H]OC([H])([H])[H]
79,TS25,-154.862211300006,[HH].[H]C([H])OC([H])([H])[H],EQ15,[HH].[H]C([H])OC([H])([H])[H],EQ0,[H]C([H])([H])OC([H])([H])[H]
80,TS26,-154.88963870394,[H]C([H])([H])O.[H]C([H])[H],EQ7,[H]C([H])([H])[H].[H]C([H])=O,EQ7,[H]C([H])([H])[H].[H]C([H])=O
81,TS27,-154.719847943434,[HH].[H]C.[H]OC([H])([H])[H],EQ23,[HH].[H]C.[H]OC([H])([H])[H],EQ4,[H]C[H].[H]OC([H])([H])[H]
82,TS28,-154.837362691928,[HH].[H]C([H])O([H])C([H])[H],EQ3,[H]C[H].[H]OC([H])([H])[H],EQ3,[H]C[H].[H]OC([H])([H])[H]
83,TS29,-154.871659578703,[H]C[H].[H]OC([H])([H])[H],EQ4,[H]C[H].[H]OC([H])([H])[H],EQ4,[H]C[H].[H]OC([H])([H])[H]
84,TS30,-154.892612796161,[H]C([H])[H].[H]OC([H])[H],EQ26,[H]OC([H])([H])C([H])([H])[H],EQ27,[H]C([H])[H].[H]OC([H])[H]
85,TS31,-154.721251994783,[H]C[H].[H]C[H].[H]O[H],EQ27,[H]C([H])[H].[H]OC([H])[H],EQ28,[H]C[H].[H]C[H].[H]O[H]
86,TS32,-154.84525461205,[HH].[H]C([H])([H])O.[H]C[H],EQ3,[H]C[H].[H]OC([H])([H])[H],EQ0,[H]C([H])([H])OC([H])([H])[H]
87,TS33,-154.871828436552,[H]C[H].[H]OC([H])([H])[H],EQ4,[H]C[H].[H]OC([H])([H])[H],EQ4,[H]C[H].[H]OC([H])([H])[H]
88,TS34,-154.788108504009,[H]C([H])O=C.[H][H].[H][H],EQ22,[H]C([H])O=C.[H][H].[H][H],EQ10,[H]C=OC([H])([H])[H].[H][H]
89,TS35,-154.890942025378,[H]C=OC([H])([H])[H].[H][H],EQ10,[H]C=OC([H])([H])[H].[H][H],EQ30,[H]C=OC([H])([H])[H].[H][H]
90,TS36,-154.857362171386,[H]C([H])[H].[H]C=O.[H][H],EQ31,C=O.[H]C([H])([H])[H].[H][H],EQ32,C=O.[H]C([H])([H])[H].[H][H]
91,TS37,-154.858215594903,[H]C[H].[H]OC([H])([H])[H],EQ34,[H]C[H].[H]OC([H])([H])[H],EQ0,[H]C([H])([H])OC([H])([H])[H]
92,TS38,-154.863722791703,[H]C([H])[H].[H]OC([H])[H],EQ4,[H]C[H].[H]OC([H])([H])[H],EQ7,[H]C([H])([H])[H].[H]C([H])=O
93,TS39,-154.851782945237,[H]C([H])[H].[H]C=O.[H][H],EQ12,[H]C=OC([H])([H])[H].[H][H],EQ35,[H]C([H])[H].[H]C=O.[H][H]
94,TS40,-154.896695670405,[H]C=OC([H])([H])[H].[H][H],EQ12,[H]C=OC([H])([H])[H].[H][H],EQ12,[H]C=OC([H])([H])[H].[H][H]
95,TS41,-154.86222125033,[HH].[H]C([H])OC([H])([H])[H],EQ0,[H]C([H])([H])OC([H])([H])[H],EQ0,[H]C([H])([H])OC([H])([H])[H]
96,TS42,-154.891155565633,[H]C([H])([H])O.[H]C([H])[H],EQ8,[H]C([H])([H])O.[H]C([H])[H],EQ0,[H]C([H])([H])OC([H])([H])[H]
97,TS43,-154.88766389316,[HH].[H]C([H])=O.[H]C([H])[H],EQ7,[H]C([H])([H])[H].[H]C([H])=O,EQ26,[H]OC([H])([H])C([H])([H])[H]
98,TS44,-155.019327686047,[H]C([H])([H])[H].[H]C([H])=O,EQ7,[H]C([H])([H])[H].[H]C([H])=O,EQ7,[H]C([H])([H])[H].[H]C([H])=O
99,TS45,-154.729613759764,C.[HH].[HH].[H]OC([H])([H])[H],EQ38,C.[H]OC([H])([H])[H].[H][H],EQ4,[H]C[H].[H]OC([H])([H])[H]
100,TS47,-154.870066372757,[H]C([H])=O=C([H])[H].[H][H],EQ2,[H]C([H])=O=C([H])[H].[H][H],EQ2,[H]C([H])=O=C([H])[H].[H][H]
101,TS48,-154.874989366529,[H]C[H].[H]OC([H])([H])[H],EQ3,[H]C[H].[H]OC([H])([H])[H],EQ3,[H]C[H].[H]OC([H])([H])[H]
102,TS49,-154.83997962275,[HH].[H]C([H])=O.[H]C([H])[H],EQ8,[H]C([H])([H])O.[H]C([H])[H],EQ42,[HH].[H]C([H])=O.[H]C([H])[H]
103,TS50,-154.791925747634,[HH].[HH].[H]C([H])OC([H])[H],EQ0,[H]C([H])([H])OC([H])([H])[H],EQ0,[H]C([H])([H])OC([H])([H])[H]
104,TS51,-154.862232244778,[HH].[H]C([H])OC([H])([H])[H],EQ0,[H]C([H])([H])OC([H])([H])[H],EQ0,[H]C([H])([H])OC([H])([H])[H]
105,TS52,-154.853872612369,[HH].[H]C([H])OC([H])([H])[H],EQ6,[HH].[H]C([H])OC([H])([H])[H],EQ6,[HH].[H]C([H])OC([H])([H])[H]
106,TS53,-154.837155989665,[HH].[H]C([H])O.[H]C([H])[H],EQ0,[H]C([H])([H])OC([H])([H])[H],EQ37,[H]OC([H])([H])C([H])([H])[H]
107,TS54,-154.855638114151,[H]C[H].[H]OC([H])([H])[H],EQ3,[H]C[H].[H]OC([H])([H])[H],EQ37,[H]OC([H])([H])C([H])([H])[H]
108,TS55,-154.844247850572,[HH].[H]C([H])=O.[H]C([H])[H],EQ0,[H]C([H])([H])OC([H])([H])[H],EQ7,[H]C([H])([H])[H].[H]C([H])=O
109,TS56,-154.856601416275,[H]C[H].[H]OC([H])([H])[H],EQ0,[H]C([H])([H])OC([H])([H])[H],EQ0,[H]C([H])([H])OC([H])([H])[H]
110,TS57,-154.794526318039,[H]C([H])O=C.[H][H].[H][H],EQ22,[H]C([H])O=C.[H][H].[H][H],EQ48,[H]C([H])O=C.[H][H].[H][H]
111,TS58,-154.839466950787,[H]C([H])[H].[H]C=O.[H][H],EQ7,[H]C([H])([H])[H].[H]C([H])=O,EQ19,[H]C(=O)C([H])([H])[H].[H][H]
112,TS59,-154.895114035961,[H]C=OC([H])([H])[H].[H][H],EQ13,[H]C=OC([H])([H])[H].[H][H],EQ13,[H]C=OC([H])([H])[H].[H][H]
113,TS60,-154.817449154427,[HH].[H]C=O.[H]C[H].[H][H],EQ12,[H]C=OC([H])([H])[H].[H][H],EQ11,[H]C([H])=O=C([H])[H].[H][H]
114,TS61,-154.841575316145,[H]C([H])=O.[H]C[H].[H][H],EQ11,[H]C([H])=O=C([H])[H].[H][H],EQ11,[H]C([H])=O=C([H])[H].[H][H]
115,TS62,-154.89630719879,[H]C=OC([H])([H])[H].[H][H],EQ13,[H]C=OC([H])([H])[H].[H][H],EQ12,[H]C=OC([H])([H])[H].[H][H]
116,TS63,-154.819748567725,[H]C([H])[H].[H]C=O.[H][H],EQ19,[H]C(=O)C([H])([H])[H].[H][H],EQ12,[H]C=OC([H])([H])[H].[H][H]
117,TS64,-154.821188225923,[HH].[H]C([H])=O.[H]C([H])[H],EQ14,[HH].[H]C([H])OC([H])([H])[H],EQ7,[H]C([H])([H])[H].[H]C([H])=O
118,TS65,-154.821755101033,[HH].[H]C([H])=O.[H]C([H])[H],EQ6,[HH].[H]C([H])OC([H])([H])[H],EQ16,[H]C([H])([H])[H].[H]C([H])=O
119,TS66,-154.840901363558,[HH].[H]C([H])=O.[H]C([H])[H],EQ7,[H]C([H])([H])[H].[H]C([H])=O,EQ42,[HH].[H]C([H])=O.[H]C([H])[H]
120,TS67,-154.864219382332,[H]C([H])OC([H])[H].[H][H],EQ11,[H]C([H])=O=C([H])[H].[H][H],EQ11,[H]C([H])=O=C([H])[H].[H][H]
121,TS68,-154.895508643842,[H]C([H])[H].[H]OC([H])[H],EQ27,[H]C([H])[H].[H]OC([H])[H],EQ27,[H]C([H])[H].[H]OC([H])[H]
122,TS69,-154.716023303516,[HH].[H]C[H].[H]OC([H])[H],EQ52,[HH].[H]C[H].[H]OC([H])[H],EQ3,[H]C[H].[H]OC([H])([H])[H]
123,TS70,-154.887076341976,[H]C(=O)C([H])([H])[H].[H][H],EQ26,[H]OC([H])([H])C([H])([H])[H],EQ17,[H]C(=O)C([H])([H])[H].[H][H]
124,TS71,-154.866189985986,O.[H]C([H])([H])C([H])([H])[H],EQ53,O.[H]C([H])([H])C([H])([H])[H],EQ26,[H]OC([H])([H])C([H])([H])[H]
125,TS72,-154.854170792099,[H]COC([H])([H])[H].[H][H],EQ10,[H]C=OC([H])([H])[H].[H][H],EQ12,[H]C=OC([H])([H])[H].[H][H]
126,TS73,-154.895968518227,[H]C=OC([H])([H])[H].[H][H],EQ57,[H]C=OC([H])([H])[H].[H][H],EQ13,[H]C=OC([H])([H])[H].[H][H]
127,TS74,-154.889576304724,[H]C([H])=O=C([H])[H].[H][H],EQ11,[H]C([H])=O=C([H])[H].[H][H],EQ44,[H]C([H])=O=C([H])[H].[H][H]
128,TS75,-154.862228945469,[HH].[H]C([H])OC([H])([H])[H],EQ0,[H]C([H])([H])OC([H])([H])[H],EQ0,[H]C([H])([H])OC([H])([H])[H]
129,TS76,-154.724071020286,[HH].[H]C=OC([H])[H].[H][H],EQ11,[H]C([H])=O=C([H])[H].[H][H],EQ11,[H]C([H])=O=C([H])[H].[H][H]
130,TS77,-154.789752585882,[HH].[H]C1=C([H])([H])O1.[H][H],EQ61,[HH].[H]C1=C([H])([H])O1.[H][H],EQ45,[H]C1([H])=C([H])([H])O1.[H][H]
131,TS78,-154.850333170183,[H]C([H])O([H])C([H])([H])[H],EQ4,[H]C[H].[H]OC([H])([H])[H],EQ3,[H]C[H].[H]OC([H])([H])[H]
132,TS79,-154.857760876526,[H]C[H].[H]OC([H])([H])[H],EQ26,[H]OC([H])([H])C([H])([H])[H],EQ0,[H]C([H])([H])OC([H])([H])[H]
133,TS80,-154.825874181422,[HH].[HH].[H]C(=O)C([H])([H])[H],EQ63,[HH].[HH].[H]C(=O)C([H])([H])[H],EQ26,[H]OC([H])([H])C([H])([H])[H]
134,TS81,-154.831198389358,[HH].[H]C([H])O.[H]C([H])[H],EQ26,[H]OC([H])([H])C([H])([H])[H],EQ8,[H]C([H])([H])O.[H]C([H])[H]
135,TS82,-154.869480901711,[HH].[H]C([H])([H])C([H])([H])O,EQ17,[H]C(=O)C([H])([H])[H].[H][H],EQ26,[H]OC([H])([H])C([H])([H])[H]
136,TS83,-154.862334721617,[H]C([H])[H].[H]C=O.[H][H],EQ68,[H]C([H])[H].[H]C=O.[H][H],EQ9,[H]C([H])([H])[H].[H]C([H])=O
137,TS84,-154.891475045923,[H]C([H])([H])O.[H]C([H])[H],EQ8,[H]C([H])([H])O.[H]C([H])[H],EQ8,[H]C([H])([H])O.[H]C([H])[H]
138,TS85,-154.863115287685,[H]C[H].[H]OC([H])([H])[H],EQ0,[H]C([H])([H])OC([H])([H])[H],EQ0,[H]C([H])([H])OC([H])([H])[H]
139,TS86,-154.83836157974,[HH].[H]C([H])=O.[H]C([H])[H],EQ7,[H]C([H])([H])[H].[H]C([H])=O,EQ7,[H]C([H])([H])[H].[H]C([H])=O
140,TS87,-154.893536094991,[HH].[H]C([H])[H].[H]CO[H],EQ71,[H]C([H])([H])[H].[H]C=O[H],EQ26,[H]OC([H])([H])C([H])([H])[H]
141,TS88,-154.833950319598,[HH].[H]COC([H])[H].[H][H],EQ45,[H]C1([H])=C([H])([H])O1.[H][H],EQ10,[H]C=OC([H])([H])[H].[H][H]
142,TS89,-154.713757970657,[H]C=O=C[H].[H][H].[H][H],EQ73,[H]C=O=C[H].[H][H].[H][H],EQ11,[H]C([H])=O=C([H])[H].[H][H]
143,TS90,-154.828500817771,[H]C([H])[H].[H]C[H].[H]O,EQ3,[H]C[H].[H]OC([H])([H])[H],EQ26,[H]OC([H])([H])C([H])([H])[H]
144,TS91,-154.808299337938,O.[H]C([H])[H].[H]C([H])[H],EQ37,[H]OC([H])([H])C([H])([H])[H],EQ0,[H]C([H])([H])OC([H])([H])[H]
145,TS92,-154.862014330185,O.[H]C([H])([H])C([H])([H])[H],EQ75,O.[H]C([H])([H])C([H])([H])[H],EQ75,O.[H]C([H])([H])C([H])([H])[H]
146,TS93,-154.919459112687,[HH].[H]C([H])=C([H])[H].[H]O,EQ76,[H]C([H])=C([H])[H].[H]O[H],EQ26,[H]OC([H])([H])C([H])([H])[H]
147,TS94,-154.831482437718,[HH].[HH].[H]C([H])[H].[H]C=O,EQ79,[HH].[H]C([H])([H])[H].[H]C=O,EQ77,[HH].[H]C([H])=O.[H]C([H])[H]
148,TS95,-155.02852008255,[H]OC([H])([H])C([H])([H])[H],EQ26,[H]OC([H])([H])C([H])([H])[H],EQ26,[H]OC([H])([H])C([H])([H])[H]
149,TS96,-154.838085698152,[HH].[H]C([H])=O.[H]C([H])[H],EQ58,[HH].[H]C([H])=O.[H]C([H])[H],EQ7,[H]C([H])([H])[H].[H]C([H])=O
150,TS97,-154.840823601445,[HH].[H]C([H])=O.[H]C([H])[H],EQ58,[HH].[H]C([H])=O.[H]C([H])[H],EQ7,[H]C([H])([H])[H].[H]C([H])=O
151,TS98,-154.855079369429,[H]COC([H])([H])[H].[H][H],EQ13,[H]C=OC([H])([H])[H].[H][H],EQ10,[H]C=OC([H])([H])[H].[H][H]
152,TS99,-154.840938225525,[HH].[H]C([H])=O.[H]C([H])[H],EQ7,[H]C([H])([H])[H].[H]C([H])=O,EQ7,[H]C([H])([H])[H].[H]C([H])=O
153,TS100,-154.81813852669,[HH].[H]C=O.[H]C[H].[H][H],EQ13,[H]C=OC([H])([H])[H].[H][H],EQ44,[H]C([H])=O=C([H])[H].[H][H]
154,TS101,-154.869528022143,[HH].[H]C([H])([H])C([H])([H])O,EQ81,[HH].[H]C([H])([H])C([H])([H])O,EQ17,[H]C(=O)C([H])([H])[H].[H][H]
155,TS102,-154.71637340986,[HH].[H]C[H].[H]OC([H])[H],EQ82,[HH].[H]C([H])O([H])C([H])[H],EQ4,[H]C[H].[H]OC([H])([H])[H]
156,TS104,-154.710268720288,[HH].[H]C([H])O([H])C([H])[H],EQ4,[H]C[H].[H]OC([H])([H])[H],EQ45,[H]C1([H])=C([H])([H])O1.[H][H]
157,TS105,-154.840812852775,[HH].[H]C([H])=O.[H]C([H])[H],EQ64,[HH].[H]C([H])=O.[H]C([H])[H],EQ64,[HH].[H]C([H])=O.[H]C([H])[H]
158,TS106,-154.84233834996,[HH].[H]C([H])=O.[H]C([H])[H],EQ7,[H]C([H])([H])[H].[H]C([H])=O,EQ42,[HH].[H]C([H])=O.[H]C([H])[H]
159,TS107,-154.861486606976,[H]C[H].[H]OC([H])([H])[H],EQ0,[H]C([H])([H])OC([H])([H])[H],EQ0,[H]C([H])([H])OC([H])([H])[H]
160,TS108,-154.864142023382,[H]C([H])OC([H])[H].[H][H],EQ44,[H]C([H])=O=C([H])[H].[H][H],EQ44,[H]C([H])=O=C([H])[H].[H][H]
161,TS109,-154.840614651637,[HH].[H]C([H])=O.[H]C([H])[H],EQ43,[HH].[H]C([H])=O.[H]C([H])[H],EQ58,[HH].[H]C([H])=O.[H]C([H])[H]
162,TS110,-154.840895852256,[HH].[H]C([H])=O.[H]C([H])[H],EQ64,[HH].[H]C([H])=O.[H]C([H])[H],EQ77,[HH].[H]C([H])=O.[H]C([H])[H]
163,TS111,-154.820964764645,[H]C([H])=O.[H]C[H].[H][H],EQ70,[H]C([H])=O.[H]C[H].[H][H],EQ11,[H]C([H])=O=C([H])[H].[H][H]
164,TS112,-154.676252548242,[HH].[H]C=O.[H]C[H].[H][H],EQ86,[HH].[H]C=O.[H]C[H].[H][H],EQ87,[HH].[H]C([H])=O.[H]C([H])[H]
165,TS113,-155.019390092624,[H]C([H])([H])[H].[H]C([H])=O,EQ7,[H]C([H])([H])[H].[H]C([H])=O,EQ7,[H]C([H])([H])[H].[H]C([H])=O
166,TS114,-154.833619722632,[HH].[H]COC([H])[H].[H][H],EQ10,[H]C=OC([H])([H])[H].[H][H],EQ45,[H]C1([H])=C([H])([H])O1.[H][H]
167,TS115,-154.841045810465,[HH].[H]C([H])=O.[H]C([H])[H],EQ69,C=O.[H]C([H])([H])[H].[H][H],EQ89,[HH].[H]C([H])=O.[H]C([H])[H]
